#{"t_start": 1736142939.7361782, "env_id": "highway-v0"}
r,l,t
3.934018,6,1.011714
20.736453,24,5.074923
8.24607,10,6.729952
2.662108,4,7.390256
3.771305,5,8.221473
20.733599,24,12.175997
11.975174,15,14.637048
15.923883,19,17.739343
4.454082,6,18.706474
14.459626,17,21.585727
7.427137,9,23.065629
4.825989,6,24.037497
13.368561,16,26.691023
6.004615,7,27.824304
16.22979,21,31.34327
3.655339,5,32.159036
4.303394,6,33.145309
22.895212,30,38.106019
17.405394,24,42.139629
8.527215,12,44.118558
20.930025,24,48.035462
5.238089,7,49.169224
11.865459,15,51.720435
13.712048,15,54.255154
102.854431,132,76.331832
5.661918,8,77.623487
5.65931,7,78.760241
18.752965,22,82.411638
8.795304,10,84.04634
10.363276,12,85.99478
34.154291,39,92.53126
10.103388,12,94.493439
10.966422,13,96.649487
15.492728,18,99.597377
9.565472,12,101.580262
8.928637,10,103.22118
8.005852,9,104.683829
14.653623,16,107.493202
9.332743,12,109.519473
6.647169,8,110.859293
15.908099,18,113.786785
3.705875,5,114.598039
4.903204,6,115.618108
4.575712,6,116.589077
8.484535,10,118.23242
4.152002,5,119.09017
6.035852,8,120.44391
4.072447,5,121.296711
4.860731,6,122.287731
18.201893,20,125.616101
10.454071,12,127.592028
3.803223,5,128.507986
11.319687,13,130.689876
3.340621,5,131.52476
4.004638,5,132.33106
7.500462,9,133.844464
12.371023,14,136.226169
21.992746,24,140.210853
8.409055,10,141.88002
7.809663,9,143.401379
5.819912,7,144.55194
11.701085,13,146.692876
4.305856,5,147.515505
5.825986,7,148.687448
8.764882,11,150.65002
8.799197,10,152.316469
3.937969,5,153.152391
8.171023,9,154.636335
11.228664,13,156.858598
3.803412,5,157.699579
7.206655,9,159.207034
6.742507,8,160.535684
3.004865,4,161.219425
9.792818,11,163.052009
8.669779,10,164.688829
3.70449,5,165.516454
12.102394,14,167.808779
5.909746,7,168.989019
3.771302,5,169.802111
1.046216,2,170.247727
13.767134,16,172.91469
10.835644,13,175.034906
12.430624,15,177.642965
9.005852,10,179.296468
3.071308,4,179.949639
12.76073,14,182.250383
6.571279,8,183.593637
60.482322,77,196.41065
3.77151,5,197.23216
9.785391,12,199.222948
5.39662,7,200.372192
5.424157,7,201.519193
33.751309,47,209.330877
13.75283,16,212.061203
11.502052,13,214.207875
8.004618,9,215.679337
30.463334,34,221.298633
4.771208,6,222.269129
5.099157,7,223.399765
22.866162,25,227.552904
17.66191,20,230.879323
2.903691,4,231.547527
3.89407,5,232.361006
7.542097,9,233.8545
5.315422,7,234.994136
3.89407,5,235.808373
1.939988,3,236.30493
12.167045,14,238.599806
8.033989,10,240.406209
3.771161,5,241.239618
5.704361,7,242.379015
18.233191,21,245.924059
3.771305,5,246.750935
3.809657,5,247.575325
8.736537,10,249.247909
6.592643,8,250.56847
5.869868,7,251.762336
4.73556,6,252.761441
9.642082,11,254.540146
7.652571,9,256.019843
9.81275,12,258.038773
4.793942,6,259.021986
4.350391,6,260.094089
11.149715,13,262.201255
13.498893,17,264.996517
6.959897,9,266.458129
10.675671,12,268.469095
19.555336,22,272.153907
12.367318,14,274.470685
6.349261,8,275.791208
6.66116,9,277.261178
7.16817,8,278.580627
17.431938,21,282.042616
13.483899,15,284.493457
8.537945,10,286.106557
4.161274,6,287.201154
18.625728,21,290.649995
6.756438,8,292.004031
9.585115,11,293.809403
17.16446,19,296.936655
7.641013,10,298.575441
6.178049,8,299.917626
5.369803,7,301.068743
10.568023,13,303.217761
15.686754,19,306.34452
1.878054,3,306.840317
35.79737,46,314.546113
8.26073,10,316.205767
7.801968,9,317.64418
8.3034,10,319.381356
8.002596,9,320.868298
3.895327,5,321.679258
19.537792,24,325.537801
4.004638,5,326.358658
5.659501,7,327.504924
11.340125,15,330.033005
4.27006,6,331.042454
8.902143,10,332.739577
7.168449,9,334.230968
12.298957,15,336.691359
17.03395,24,340.650775
8.20199,10,342.276517
55.380372,71,353.955231
7.872519,9,355.52439
6.833515,9,356.980628
48.897456,62,367.380278
7.209826,10,369.10395
17.818122,25,373.32058
5.969439,8,374.652919
4.039209,5,375.515341
9.561027,12,377.495295
1.668091,3,377.993381
20.658256,22,381.596848
73.818985,97,397.79854
12.035849,16,400.405574
15.529408,23,404.183237
6.4,9,405.650094
22.492404,25,409.828869
31.429168,38,416.090714
2.42212,4,416.752788
3.849994,5,417.579878
4.27006,6,418.559898
5.039189,6,419.553172
25.060658,31,424.630791
15.797213,18,427.611501
13.429219,18,430.620845
30.624839,37,436.779863
6.79862,8,438.110058
12.926156,15,440.612923
3.230073,5,441.43227
3.803412,5,442.363754
10.272519,12,444.326057
8.052276,9,445.816103
9.736712,11,447.639513
4.039209,5,448.444151
6.485118,8,449.770154
10.901081,12,451.741095
7.110439,10,453.420175
7.471043,9,454.889315
11.570038,13,457.000134
16.133973,19,460.168409
2.772656,4,460.825645
23.905128,30,465.802613
19.861525,23,469.672127
30.52549,35,475.462789
25.167206,30,480.493567
8.05757,10,482.172436
24.625247,30,487.128044
26.59939,30,492.1629
13.417977,15,494.686177
11.108619,13,496.920311
18.306571,21,500.452701
57.50724,71,512.243638
12.099078,14,514.533037
7.307263,9,515.991243
13.893739,16,518.600308
50.26175,68,529.88223
15.3942,20,533.24245
20.927951,25,537.401336
25.88291,32,542.963988
14.93169,17,545.768121
10.436885,13,547.949856
16.162571,19,551.073275
5.004622,6,552.051327
9.633819,11,553.86513
26.964992,31,559.066645
33.860998,41,565.84235
17.896759,21,569.297592
20.767633,28,573.956681
14.549507,18,576.952275
2.805989,4,577.60497
25.931757,31,582.661172
48.699642,62,592.962712
9.368017,11,594.942979
5.861274,8,596.235782
15.971217,19,599.345078
8.265572,10,601.069189
6.524141,8,602.386135
11.434466,15,604.867438
4.173224,6,605.897588
14.86653,18,608.904882
34.823327,49,617.023058
19.02624,24,621.061845
13.666783,16,623.752223
12.090866,16,626.37051
17.272701,19,629.420414
9.536593,12,631.412067
11.351216,14,633.814306
2.838085,4,634.457027
10.299693,12,636.383689
1.72944,3,636.888263
10.304707,13,639.023805
24.617539,32,644.387152
13.335347,16,647.035726
4.728641,6,648.06211
42.724422,51,656.440859
5.578392,7,657.568377
3.87277,5,658.400747
15.134607,18,661.406843
11.491016,16,664.024241
12.514224,14,666.424105
10.991496,13,668.590965
31.491422,36,674.765281
11.269783,13,676.898075
18.134793,22,680.525013
47.609605,58,690.356689
4.427455,7,691.520905
21.887256,25,695.653584
2.92059,4,696.301357
18.332829,23,700.133662
10.037804,11,701.921065
23.034769,31,707.159
17.341648,23,710.971886
15.235507,19,714.123667
5.859501,7,715.368462
15.235384,18,718.324863
32.500073,45,725.873019
25.29683,30,730.971593
21.086844,26,735.259915
16.452098,21,738.702161
36.309045,48,746.752456
6.334158,8,748.098642
4.404755,6,749.083978
15.271451,18,752.096598
12.432386,15,754.575235
16.6384,22,758.237773
12.10173,14,760.540317
5.595418,7,761.762086
13.734944,17,764.554494
14.36986,17,767.342243
16.78793,19,770.426915
1.010008,2,770.764579
11.984546,15,773.252978
22.164481,25,777.350963
18.861905,23,781.269011
18.172182,21,784.781407
22.099148,25,788.959043
4.36655,6,789.950544
13.868367,16,792.64234
51.299218,71,804.33607
10.886282,14,806.686573
10.928637,12,808.683215
23.85449,29,813.668534
3.697732,5,814.500993
6.933527,10,816.115531
10.110148,12,818.064213
10.641584,12,820.147238
5.534708,7,821.332183
12.534695,14,823.666722
43.602099,59,833.507905
22.872672,29,838.251714
4.902132,7,839.401909
21.467199,27,843.933635
9.775584,12,845.873904
16.158327,21,849.341342
7.693235,10,850.990821
20.001601,23,854.86219
20.451536,25,858.937335
13.530604,17,861.747592
12.903304,16,864.358221
9.092622,13,866.447613
13.100624,15,868.90401
6.660476,8,870.21699
9.503254,12,872.217963
8.307545,11,874.03432
19.787089,22,877.670483
19.592055,22,881.292326
11.599807,14,883.595348
17.790671,22,887.168901
15.492066,20,890.484684
18.363782,21,894.060716
4.566163,6,895.063298
7.803194,9,896.577644
8.767796,12,898.563933
6.603137,8,899.86099
34.226194,38,906.212551
7.50082,9,907.692504
11.767388,13,909.843905
18.631323,21,913.354569
10.77004,13,915.506719
43.109916,47,923.290025
3.92942,5,924.105822
8.061654,10,925.799492
7.833333,10,927.447934
25.893157,29,932.392297
1.87209,3,932.879213
31.72354,37,939.070492
3.737971,5,939.893023
6.991484,9,941.383306
7.603205,9,942.851737
10.498333,12,944.808902
11.239185,13,946.962962
4.039209,5,947.788446
14.479595,17,950.575275
21.098869,23,954.349703
9.56981,12,956.352286
7.408273,9,957.891587
6.668925,9,959.381086
6.251111,8,960.722394
12.836712,15,963.303115
2.160012,4,963.959724
23.265647,26,968.228621
11.20082,13,970.363415
17.498062,19,973.485295
13.667229,15,975.964471
6.004615,7,977.112362
13.772466,16,979.751776
8.537951,10,981.400113
3.305875,4,982.087435
13.320764,16,984.735431
5.607274,7,985.916119
1.938756,3,986.428401
12.95322,15,988.890784
10.873013,12,990.983077
6.495327,8,992.298502
19.530725,23,996.103204
11.174835,13,998.238539
16.379995,19,1001.330986
13.926827,17,1004.16434
3.771305,5,1004.979666
17.930982,21,1008.434011
11.03554,13,1010.529964
9.301235,12,1012.514444
36.084314,40,1019.067217
14.317932,17,1021.950037
9.907163,12,1023.915002
10.269136,14,1026.213575
5.339209,7,1027.478405
41.831502,45,1035.014787
12.696412,15,1037.497323
4.603135,6,1038.472886
1.218243,2,1038.818611
4.431826,6,1039.796724
13.471147,16,1042.421608
8.27006,10,1044.092626
1.87209,3,1044.580803
12.834083,15,1047.061853
14.643858,16,1049.715986
14.864095,16,1052.41393
6.092071,8,1053.766034
11.594522,14,1056.135049
6.117428,7,1057.262425
7.905853,9,1058.818264
3.519793,5,1059.659757
22.767572,24,1063.680069
4.571712,6,1064.667716
11.907528,14,1066.928833
8.535387,10,1068.55147
10.129102,12,1070.559211
8.426834,11,1072.407268
5.257417,8,1073.716401
13.556115,16,1076.402744
22.656847,24,1080.405638
10.268022,13,1082.581343
12.768793,15,1085.057678
18.216024,22,1088.66771
5.731042,7,1089.947209
9.727213,12,1091.92149
6.03359,8,1093.224333
27.317397,31,1098.514703
6.373321,8,1099.829969
11.563669,14,1102.194705
1.839988,3,1102.696442
10.99282,13,1104.8447
22.346286,28,1109.491185
3.770945,5,1110.315953
12.981737,15,1112.79217
26.79276,38,1119.001116
16.497841,18,1121.965197
25.657875,36,1127.902059
8.300059,10,1129.66384
9.553712,12,1131.635929
11.208594,14,1133.959816
19.107089,23,1137.757594
11.426819,13,1139.897088
5.534157,7,1141.038973
10.068552,12,1143.001483
24.426156,27,1147.508525
30.154762,37,1153.700184
8.829798,11,1155.550769
20.311079,26,1159.858358
24.936448,28,1164.552644
35.236639,40,1171.161063
6.626167,8,1172.482976
7.787561,9,1174.067288
6.707006,8,1175.413452
29.359,31,1180.532465
26.669781,28,1185.184222
8.187062,10,1186.880605
9.36073,11,1188.767849
7.36934,9,1190.287373
5.703375,7,1191.453578
4.039209,5,1192.278821
79.979195,101,1209.417086
24.507169,29,1214.458802
3.368187,5,1215.294202
3.771305,5,1216.138504
28.529964,32,1221.66606
46.053861,57,1231.399726
1.877215,3,1231.897888
7.474992,10,1233.573164
8.671278,10,1235.217331
5.442248,7,1236.39646
