#{"t_start": 1735837602.0120373, "env_id": "highway-v0"}
r,l,t
13.843217,20,0.397128
1.839988,3,0.460346
4.0,6,0.582993
1.919793,3,0.642341
2.578783,4,0.722607
3.733466,6,0.832198
7.627481,12,1.074556
1.839988,3,1.137043
9.443886,14,1.391313
3.733466,6,1.508643
3.760012,6,1.626932
3.2,5,1.725201
18.186564,27,2.238538
2.533333,4,2.31287
2.00281,3,2.374196
3.33322,5,2.468113
3.2,5,2.588951
2.510548,4,2.672485
2.532668,4,2.752101
1.872402,3,2.811902
1.872402,3,2.87671
23.439209,33,3.458611
1.919793,3,3.518225
2.00281,3,3.581227
4.294125,7,3.716849
19.069419,27,4.179224
2.719793,4,4.254533
12.533353,18,4.575154
2.772656,4,4.653681
1.956314,3,4.713858
13.200783,20,5.059219
5.070842,8,5.202181
3.332668,5,5.299759
7.73347,12,5.508718
3.2,5,5.602575
1.869811,3,5.661792
2.404183,4,5.741532
3.2,5,5.83589
1.839988,3,5.9053
1.839988,3,5.973151
3.844661,6,6.128817
1.839988,3,6.190963
10.909906,16,6.489652
9.178017,14,6.749511
