#{"t_start": 1733999491.8000505, "env_id": "roundabout-v0"}
r,l,t
1.583333,11,0.803435
4.166667,11,1.67993
0.833333,11,2.514932
5.708333,9,3.19141
2.416667,11,4.009462
0.833333,11,4.864095
1.666667,11,5.67409
0.0,11,6.459643
2.416667,11,7.242636
0.0,11,8.072376
1.666667,11,8.821796
4.166667,11,9.66088
0.0,11,10.458076
1.583333,3,10.682653
0.791667,2,10.86654
3.333333,11,11.633463
0.0,11,12.403718
4.166667,11,13.195308
3.208333,11,13.94718
0.875,11,14.703242
0.833333,11,15.510215
0.791667,11,16.354452
0.0,11,17.20009
0.75,2,17.40404
0.0,11,18.242462
5.75,11,19.057801
1.666667,11,19.874223
4.916667,11,20.686685
0.0,11,21.535801
6.541667,11,22.36028
0.833333,2,22.516473
3.291667,11,23.31693
0.0,11,24.132838
5.75,11,24.946445
2.5,11,25.744202
0.833333,11,26.546957
6.583333,11,27.346002
2.458333,4,27.645787
5.708333,11,28.447165
0.0,11,29.255914
2.458333,11,30.092388
5.75,11,30.916912
1.666667,3,31.157569
0.0,3,31.383281
0.0,11,32.200217
1.625,11,33.005131
0.0,11,33.806009
6.666667,11,34.618449
4.958333,10,35.361454
5.75,11,36.183619
3.291667,11,36.977502
1.625,11,37.791338
0.833333,11,38.600799
0.0,11,39.422394
-0.041667,6,39.861243
0.833333,5,40.223699
5.0,11,41.037168
0.833333,11,41.850972
0.791667,11,42.650181
3.333333,11,43.445572
3.333333,11,44.248294
1.625,3,44.488388
0.833333,2,44.645783
1.625,9,45.315567
1.666667,8,45.917953
0.833333,11,46.775373
4.333333,11,47.578546
1.666667,11,48.417337
5.0,11,49.225661
1.666667,5,49.604266
3.416667,11,50.416434
2.5,11,51.222198
0.791667,11,52.041116
1.666667,11,52.859435
0.833333,11,53.663028
0.833333,2,53.819456
0.0,11,54.677032
0.833333,11,55.501814
0.791667,2,55.661098
1.625,3,55.896197
0.0,11,56.703231
1.666667,11,57.572917
5.0,11,58.481629
8.333333,11,59.27108
0.0,11,60.089523
8.291667,11,60.897085
0.791667,2,61.055919
0.0,9,61.727969
4.166667,11,62.553504
0.833333,11,63.372888
0.791667,5,63.748647
0.833333,11,64.558258
0.833333,11,65.367963
0.833333,11,66.187578
4.125,11,66.982205
1.666667,3,67.207803
0.833333,2,67.364934
0.0,11,68.14775
2.5,11,68.958338
0.833333,11,69.754579
0.0,11,70.575816
0.833333,11,71.394195
0.833333,11,72.200792
0.0,11,73.034244
0.833333,7,73.568186
1.666667,11,74.422699
0.833333,4,74.714006
0.833333,11,75.488683
9.041667,11,76.324455
4.166667,11,77.158205
0.791667,4,77.453128
