#{"t_start": 1735836851.1457675, "env_id": "highway-v0"}
r,l,t
2.584357,4,1.945143
13.751818,17,10.860697
3.363931,5,13.682959
13.459919,19,23.434833
6.193924,8,27.38133
7.86243,10,32.379463
5.233407,7,36.081679
6.040885,8,40.208861
3.858767,6,43.237456
1.631846,3,44.662328
7.703093,10,50.029258
1.87209,3,51.476069
1.938756,3,52.977253
6.99173,9,57.62749
5.403638,7,61.436026
3.473321,5,63.957306
3.630073,5,66.4572
29.229529,38,86.143754
13.630071,19,95.837375
13.230453,18,105.254301
11.936705,13,111.811588
22.838514,31,126.75545
8.801501,10,131.936618
6.970082,9,136.523089
32.008133,43,158.245279
13.995653,19,167.965509
4.240547,6,171.017716
6.75168,10,175.674554
4.29635,6,178.497588
5.906518,7,181.751915
4.072447,5,184.067597
1.666667,3,185.465485
4.835723,7,188.834964
18.155952,24,199.968973
10.456752,15,206.924015
1.809053,3,208.266479
4.327888,6,211.060241
2.631834,4,212.931955
6.758517,10,217.655367
11.369959,16,225.085223
5.424685,8,228.879566
11.869657,14,235.583735
26.903861,37,253.223359
