#{"t_start": 1736187035.1471982, "env_id": "highway-v0"}
r,l,t
4.005875,5,0.83546
6.477857,8,2.129713
40.044816,46,9.706582
10.8688,12,11.669378
6.404357,8,12.98969
69.78717,85,26.857125
7.324197,10,28.527004
104.749733,139,51.429544
20.862072,24,55.540198
93.887793,126,76.591671
7.592646,9,78.094666
209.562061,255,120.477941
33.415646,36,126.433405
7.800897,9,127.898973
13.096929,15,130.373346
22.231487,24,134.305447
41.777132,46,142.058019
14.23396,16,144.723684
21.435794,23,148.504282
6.193229,8,149.805618
40.389602,53,158.713901
46.086466,54,167.550044
6.51119,8,168.938266
10.825986,15,171.40567
55.881807,72,183.298664
14.322439,16,185.908309
6.499943,8,187.259639
15.067116,18,190.262323
9.861971,12,192.210575
4.671288,6,193.186322
21.860499,24,197.082231
9.468365,11,198.877016
7.72475,9,200.329444
13.627478,18,203.287988
13.431331,15,205.724888
13.728638,16,208.463308
12.623058,15,210.886272
46.16916,55,220.117604
17.399394,20,223.369752
20.289641,25,227.432416
9.938686,11,229.221129
20.019345,22,232.77761
9.801965,11,234.57707
45.581221,49,242.590065
43.749684,52,251.124996
12.390341,14,253.495124
17.764638,20,256.797299
40.18629,47,264.492041
38.175481,42,271.269898
40.76378,46,278.991849
16.167732,19,282.122814
31.393024,35,287.936965
33.990621,37,293.889303
6.971281,8,295.207542
9.603194,11,297.016439
6.904376,9,298.476834
6.192575,8,299.789912
10.136456,12,301.741558
23.494522,26,306.010204
68.300051,87,320.4604
14.100624,16,323.093896
19.859531,22,326.799861
10.804611,12,328.869256
30.317526,33,334.540434
49.681739,62,344.956836
3.533333,5,345.763721
6.395304,8,347.059561
24.850071,28,351.707389
2.838089,4,352.365811
10.497383,12,354.355974
11.605185,15,356.80097
30.72631,35,362.530368
14.898438,17,365.343385
23.56347,29,370.069939
11.63069,13,372.218647
6.539185,8,373.506467
1.120764,2,373.944943
19.290807,21,377.396231
9.570044,11,379.194987
20.727487,23,382.967736
4.005875,5,383.807371
9.268549,11,385.583742
38.944822,43,392.622342
26.599742,34,398.272478
55.196871,66,409.296617
10.501291,13,411.513841
