#{"t_start": 1736039481.4559152, "env_id": "highway-v0"}
r,l,t
211.795825,300,43.170833
71.981126,104,58.049078
5.429931,8,59.166573
28.672264,39,64.697755
7.625979,9,65.963262
5.661145,7,66.970016
132.958403,180,92.891879
29.988933,40,98.732912
80.056017,112,114.662847
3.577195,5,115.362951
12.893943,17,117.743116
21.429167,30,121.957035
77.395517,113,138.1504
3.027344,5,138.864048
132.827445,172,163.588678
72.407241,100,177.810041
44.43803,63,186.715437
213.809306,300,229.477481
117.752073,159,252.05967
18.926241,25,255.649683
49.550516,64,264.904426
48.820624,68,274.954515
49.224709,69,284.782531
219.681128,294,327.264588
15.492264,22,330.423712
215.74377,296,372.451594
38.466105,49,379.462173
11.702693,15,381.588317
5.792644,9,382.883747
153.09265,210,412.547906
7.558161,9,413.834625
206.814102,287,454.758096
8.904353,11,456.360962
29.205321,38,461.731963
3.971308,5,462.535236
38.279982,50,469.722676
82.335392,111,485.768642
10.802889,14,487.778201
4.569726,7,488.7779
9.693597,13,490.633327
47.419181,64,499.574062
37.851482,51,506.874001
109.572374,151,528.281364
4.827398,6,529.147491
55.223154,78,540.143527
7.729265,10,541.581062
71.189883,96,555.258156
85.913071,115,571.645759
3.4,5,572.347336
91.104839,129,590.722773
4.803205,6,591.576632
122.735388,167,615.425693
14.882781,21,618.362241
124.612721,173,643.02243
51.571885,65,652.293989
9.994148,14,654.22772
39.954799,56,662.227296
6.003194,7,663.237346
11.925405,16,665.488108
6.676536,9,666.730838
15.433393,22,669.800224
50.960453,68,679.52713
132.057657,181,705.323771
178.038543,239,739.455568
135.225356,181,765.437641
8.62322,12,767.125113
94.646002,129,785.450381
222.416938,300,828.880023
23.123246,32,833.392281
114.678904,154,855.632714
73.824097,102,870.352189
42.167169,56,878.254097
220.060156,300,920.993902
29.593464,42,926.991519
21.786424,30,931.230981
219.748569,300,974.361435
7.489146,11,975.914201
60.696731,81,987.333942
101.004877,137,1007.090823
34.089502,43,1013.22869
43.791137,61,1022.011222
51.66364,70,1031.849123
41.154163,55,1039.748991
19.022103,25,1043.356315
223.035528,300,1085.788251
213.077913,300,1128.409527
83.424739,118,1145.187672
220.371298,300,1188.005865
33.027481,43,1194.123406
51.557826,73,1204.575866
77.522536,103,1219.303491
130.447935,182,1245.238963
159.709526,216,1275.638216
22.525066,26,1279.247461
68.852139,91,1292.030402
170.142178,230,1324.738016
21.362903,27,1328.534144
53.759014,75,1339.422274
5.385416,7,1340.421673
34.924066,52,1347.75448
150.80626,201,1376.516687
8.747501,10,1377.965466
226.758639,300,1420.89954
9.336505,13,1422.756355
